customer_id,name,email,city,registration_date,days_since_registration,customer_segment
1,Customer 1,customer1@email.com,Jakarta,2023-01-01,923,Veteran
2,Customer 2,customer2@email.com,Bandung,2023-01-02,922,Veteran
3,Customer 3,customer3@email.com,Jakarta,2023-01-03,921,Veteran
4,Customer 4,customer4@email.com,Medan,2023-01-04,920,Veteran
5,Customer 5,customer5@email.com,Surabaya,2023-01-05,919,Veteran
6,Customer 6,customer6@email.com,Jakarta,2023-01-06,918,Veteran
7,Customer 7,customer7@email.com,Jakarta,2023-01-07,917,Veteran
8,Customer 8,customer8@email.com,Medan,2023-01-08,916,Veteran
9,Customer 9,customer9@email.com,Yogyakarta,2023-01-09,915,Veteran
10,Customer 10,customer10@email.com,Yogyakarta,2023-01-10,914,Veteran
11,Customer 11,customer11@email.com,Bandung,2023-01-11,913,Veteran
12,Customer 12,customer12@email.com,Yogyakarta,2023-01-12,912,Veteran
13,Customer 13,customer13@email.com,Medan,2023-01-13,911,Veteran
14,Customer 14,customer14@email.com,Surabaya,2023-01-14,910,Veteran
15,Customer 15,customer15@email.com,Yogyakarta,2023-01-15,909,Veteran
16,Customer 16,customer16@email.com,Jakarta,2023-01-16,908,Veteran
17,Customer 17,customer17@email.com,Bandung,2023-01-17,907,Veteran
18,Customer 18,customer18@email.com,Medan,2023-01-18,906,Veteran
19,Customer 19,customer19@email.com,Surabaya,2023-01-19,905,Veteran
20,Customer 20,customer20@email.com,Yogyakarta,2023-01-20,904,Veteran
21,Customer 21,customer21@email.com,Surabaya,2023-01-21,903,Veteran
22,Customer 22,customer22@email.com,Medan,2023-01-22,902,Veteran
23,Customer 23,customer23@email.com,Yogyakarta,2023-01-23,901,Veteran
24,Customer 24,customer24@email.com,Medan,2023-01-24,900,Veteran
25,Customer 25,customer25@email.com,Jakarta,2023-01-25,899,Veteran
26,Customer 26,customer26@email.com,Yogyakarta,2023-01-26,898,Veteran
27,Customer 27,customer27@email.com,Surabaya,2023-01-27,897,Veteran
28,Customer 28,customer28@email.com,Surabaya,2023-01-28,896,Veteran
29,Customer 29,customer29@email.com,Surabaya,2023-01-29,895,Veteran
30,Customer 30,customer30@email.com,Yogyakarta,2023-01-30,894,Veteran
31,Customer 31,customer31@email.com,Jakarta,2023-01-31,893,Veteran
32,Customer 32,customer32@email.com,Jakarta,2023-02-01,892,Veteran
33,Customer 33,customer33@email.com,Surabaya,2023-02-02,891,Veteran
34,Customer 34,customer34@email.com,Jakarta,2023-02-03,890,Veteran
35,Customer 35,customer35@email.com,Jakarta,2023-02-04,889,Veteran
36,Customer 36,customer36@email.com,Medan,2023-02-05,888,Veteran
37,Customer 37,customer37@email.com,Bandung,2023-02-06,887,Veteran
38,Customer 38,customer38@email.com,Bandung,2023-02-07,886,Veteran
39,Customer 39,customer39@email.com,Jakarta,2023-02-08,885,Veteran
40,Customer 40,customer40@email.com,Yogyakarta,2023-02-09,884,Veteran
41,Customer 41,customer41@email.com,Bandung,2023-02-10,883,Veteran
42,Customer 42,customer42@email.com,Bandung,2023-02-11,882,Veteran
43,Customer 43,customer43@email.com,Bandung,2023-02-12,881,Veteran
44,Customer 44,customer44@email.com,Bandung,2023-02-13,880,Veteran
45,Customer 45,customer45@email.com,Medan,2023-02-14,879,Veteran
46,Customer 46,customer46@email.com,Bandung,2023-02-15,878,Veteran
47,Customer 47,customer47@email.com,Yogyakarta,2023-02-16,877,Veteran
48,Customer 48,customer48@email.com,Jakarta,2023-02-17,876,Veteran
49,Customer 49,customer49@email.com,Medan,2023-02-18,875,Veteran
50,Customer 50,customer50@email.com,Bandung,2023-02-19,874,Veteran
51,Customer 51,customer51@email.com,Bandung,2023-02-20,873,Veteran
52,Customer 52,customer52@email.com,Medan,2023-02-21,872,Veteran
53,Customer 53,customer53@email.com,Yogyakarta,2023-02-22,871,Veteran
54,Customer 54,customer54@email.com,Yogyakarta,2023-02-23,870,Veteran
55,Customer 55,customer55@email.com,Surabaya,2023-02-24,869,Veteran
56,Customer 56,customer56@email.com,Medan,2023-02-25,868,Veteran
57,Customer 57,customer57@email.com,Medan,2023-02-26,867,Veteran
58,Customer 58,customer58@email.com,Yogyakarta,2023-02-27,866,Veteran
59,Customer 59,customer59@email.com,Yogyakarta,2023-02-28,865,Veteran
60,Customer 60,customer60@email.com,Bandung,2023-03-01,864,Veteran
61,Customer 61,customer61@email.com,Surabaya,2023-03-02,863,Veteran
62,Customer 62,customer62@email.com,Jakarta,2023-03-03,862,Veteran
63,Customer 63,customer63@email.com,Jakarta,2023-03-04,861,Veteran
64,Customer 64,customer64@email.com,Yogyakarta,2023-03-05,860,Veteran
65,Customer 65,customer65@email.com,Jakarta,2023-03-06,859,Veteran
66,Customer 66,customer66@email.com,Medan,2023-03-07,858,Veteran
67,Customer 67,customer67@email.com,Bandung,2023-03-08,857,Veteran
68,Customer 68,customer68@email.com,Bandung,2023-03-09,856,Veteran
69,Customer 69,customer69@email.com,Yogyakarta,2023-03-10,855,Veteran
70,Customer 70,customer70@email.com,Medan,2023-03-11,854,Veteran
71,Customer 71,customer71@email.com,Jakarta,2023-03-12,853,Veteran
72,Customer 72,customer72@email.com,Medan,2023-03-13,852,Veteran
73,Customer 73,customer73@email.com,Jakarta,2023-03-14,851,Veteran
74,Customer 74,customer74@email.com,Jakarta,2023-03-15,850,Veteran
75,Customer 75,customer75@email.com,Medan,2023-03-16,849,Veteran
76,Customer 76,customer76@email.com,Surabaya,2023-03-17,848,Veteran
77,Customer 77,customer77@email.com,Yogyakarta,2023-03-18,847,Veteran
78,Customer 78,customer78@email.com,Surabaya,2023-03-19,846,Veteran
79,Customer 79,customer79@email.com,Bandung,2023-03-20,845,Veteran
80,Customer 80,customer80@email.com,Jakarta,2023-03-21,844,Veteran
81,Customer 81,customer81@email.com,Medan,2023-03-22,843,Veteran
82,Customer 82,customer82@email.com,Surabaya,2023-03-23,842,Veteran
83,Customer 83,customer83@email.com,Surabaya,2023-03-24,841,Veteran
84,Customer 84,customer84@email.com,Jakarta,2023-03-25,840,Veteran
85,Customer 85,customer85@email.com,Jakarta,2023-03-26,839,Veteran
86,Customer 86,customer86@email.com,Jakarta,2023-03-27,838,Veteran
87,Customer 87,customer87@email.com,Surabaya,2023-03-28,837,Veteran
88,Customer 88,customer88@email.com,Medan,2023-03-29,836,Veteran
89,Customer 89,customer89@email.com,Jakarta,2023-03-30,835,Veteran
90,Customer 90,customer90@email.com,Jakarta,2023-03-31,834,Veteran
91,Customer 91,customer91@email.com,Surabaya,2023-04-01,833,Veteran
92,Customer 92,customer92@email.com,Surabaya,2023-04-02,832,Veteran
93,Customer 93,customer93@email.com,Yogyakarta,2023-04-03,831,Veteran
94,Customer 94,customer94@email.com,Surabaya,2023-04-04,830,Veteran
95,Customer 95,customer95@email.com,Surabaya,2023-04-05,829,Veteran
96,Customer 96,customer96@email.com,Bandung,2023-04-06,828,Veteran
97,Customer 97,customer97@email.com,Yogyakarta,2023-04-07,827,Veteran
98,Customer 98,customer98@email.com,Surabaya,2023-04-08,826,Veteran
99,Customer 99,customer99@email.com,Medan,2023-04-09,825,Veteran
100,Customer 100,customer100@email.com,Surabaya,2023-04-10,824,Veteran
101,Customer 101,customer101@email.com,Bandung,2023-04-11,823,Veteran
102,Customer 102,customer102@email.com,Medan,2023-04-12,822,Veteran
103,Customer 103,customer103@email.com,Yogyakarta,2023-04-13,821,Veteran
104,Customer 104,customer104@email.com,Surabaya,2023-04-14,820,Veteran
105,Customer 105,customer105@email.com,Bandung,2023-04-15,819,Veteran
106,Customer 106,customer106@email.com,Bandung,2023-04-16,818,Veteran
107,Customer 107,customer107@email.com,Medan,2023-04-17,817,Veteran
108,Customer 108,customer108@email.com,Yogyakarta,2023-04-18,816,Veteran
109,Customer 109,customer109@email.com,Yogyakarta,2023-04-19,815,Veteran
110,Customer 110,customer110@email.com,Jakarta,2023-04-20,814,Veteran
111,Customer 111,customer111@email.com,Medan,2023-04-21,813,Veteran
112,Customer 112,customer112@email.com,Medan,2023-04-22,812,Veteran
113,Customer 113,customer113@email.com,Bandung,2023-04-23,811,Veteran
114,Customer 114,customer114@email.com,Surabaya,2023-04-24,810,Veteran
115,Customer 115,customer115@email.com,Yogyakarta,2023-04-25,809,Veteran
116,Customer 116,customer116@email.com,Yogyakarta,2023-04-26,808,Veteran
117,Customer 117,customer117@email.com,Surabaya,2023-04-27,807,Veteran
118,Customer 118,customer118@email.com,Surabaya,2023-04-28,806,Veteran
119,Customer 119,customer119@email.com,Bandung,2023-04-29,805,Veteran
120,Customer 120,customer120@email.com,Yogyakarta,2023-04-30,804,Veteran
121,Customer 121,customer121@email.com,Jakarta,2023-05-01,803,Veteran
122,Customer 122,customer122@email.com,Bandung,2023-05-02,802,Veteran
123,Customer 123,customer123@email.com,Bandung,2023-05-03,801,Veteran
124,Customer 124,customer124@email.com,Yogyakarta,2023-05-04,800,Veteran
125,Customer 125,customer125@email.com,Medan,2023-05-05,799,Veteran
126,Customer 126,customer126@email.com,Medan,2023-05-06,798,Veteran
127,Customer 127,customer127@email.com,Medan,2023-05-07,797,Veteran
128,Customer 128,customer128@email.com,Jakarta,2023-05-08,796,Veteran
129,Customer 129,customer129@email.com,Yogyakarta,2023-05-09,795,Veteran
130,Customer 130,customer130@email.com,Yogyakarta,2023-05-10,794,Veteran
131,Customer 131,customer131@email.com,Surabaya,2023-05-11,793,Veteran
132,Customer 132,customer132@email.com,Yogyakarta,2023-05-12,792,Veteran
133,Customer 133,customer133@email.com,Jakarta,2023-05-13,791,Veteran
134,Customer 134,customer134@email.com,Yogyakarta,2023-05-14,790,Veteran
135,Customer 135,customer135@email.com,Medan,2023-05-15,789,Veteran
136,Customer 136,customer136@email.com,Surabaya,2023-05-16,788,Veteran
137,Customer 137,customer137@email.com,Yogyakarta,2023-05-17,787,Veteran
138,Customer 138,customer138@email.com,Medan,2023-05-18,786,Veteran
139,Customer 139,customer139@email.com,Yogyakarta,2023-05-19,785,Veteran
140,Customer 140,customer140@email.com,Bandung,2023-05-20,784,Veteran
141,Customer 141,customer141@email.com,Surabaya,2023-05-21,783,Veteran
142,Customer 142,customer142@email.com,Jakarta,2023-05-22,782,Veteran
143,Customer 143,customer143@email.com,Medan,2023-05-23,781,Veteran
144,Customer 144,customer144@email.com,Jakarta,2023-05-24,780,Veteran
145,Customer 145,customer145@email.com,Yogyakarta,2023-05-25,779,Veteran
146,Customer 146,customer146@email.com,Jakarta,2023-05-26,778,Veteran
147,Customer 147,customer147@email.com,Surabaya,2023-05-27,777,Veteran
148,Customer 148,customer148@email.com,Bandung,2023-05-28,776,Veteran
149,Customer 149,customer149@email.com,Bandung,2023-05-29,775,Veteran
150,Customer 150,customer150@email.com,Yogyakarta,2023-05-30,774,Veteran
151,Customer 151,customer151@email.com,Medan,2023-05-31,773,Veteran
152,Customer 152,customer152@email.com,Jakarta,2023-06-01,772,Veteran
153,Customer 153,customer153@email.com,Yogyakarta,2023-06-02,771,Veteran
154,Customer 154,customer154@email.com,Medan,2023-06-03,770,Veteran
155,Customer 155,customer155@email.com,Yogyakarta,2023-06-04,769,Veteran
156,Customer 156,customer156@email.com,Medan,2023-06-05,768,Veteran
157,Customer 157,customer157@email.com,Yogyakarta,2023-06-06,767,Veteran
158,Customer 158,customer158@email.com,Medan,2023-06-07,766,Veteran
159,Customer 159,customer159@email.com,Surabaya,2023-06-08,765,Veteran
160,Customer 160,customer160@email.com,Medan,2023-06-09,764,Veteran
161,Customer 161,customer161@email.com,Surabaya,2023-06-10,763,Veteran
162,Customer 162,customer162@email.com,Bandung,2023-06-11,762,Veteran
163,Customer 163,customer163@email.com,Medan,2023-06-12,761,Veteran
164,Customer 164,customer164@email.com,Yogyakarta,2023-06-13,760,Veteran
