customer_id,name,email,city,registration_date,days_since_registration,customer_segment,total_orders,total_spent,avg_order_value,max_order_value,first_order_date,last_order_date,suspicious_orders,clv_score,value_segment
1,Customer 1,customer1@email.com,Jakarta,2023-01-01,923,Veteran,9.0,1986.45,220.72,400.0,2024-02-07 09:00:00,2024-07-24 14:00:00,0.0,1240.94,VIP
2,Customer 2,customer2@email.com,Bandung,2023-01-02,922,Veteran,6.0,2245.89,374.32,489.73,2024-01-04 18:00:00,2024-05-04 06:00:00,2.0,1402.97,VIP
3,Customer 3,customer3@email.com,Jakarta,2023-01-03,921,Veteran,4.0,1288.89,322.22,493.81,2024-02-21 06:00:00,2024-05-01 12:00:00,2.0,817.56,VIP
4,Customer 4,customer4@email.com,Medan,2023-01-04,920,Veteran,2.0,697.35,348.68,413.99,2024-02-25 06:00:00,2024-03-16 16:00:00,1.0,459.28,High Value
5,Customer 5,customer5@email.com,Surabaya,2023-01-05,919,Veteran,5.0,1461.08,292.22,407.45,2024-01-08 11:00:00,2024-02-29 11:00:00,1.0,920.87,VIP
6,Customer 6,customer6@email.com,Jakarta,2023-01-06,918,Veteran,1.0,378.67,378.67,378.67,2024-02-25 01:00:00,2024-02-25 01:00:00,0.0,268.07,Medium Value
7,Customer 7,customer7@email.com,Jakarta,2023-01-07,917,Veteran,7.0,1925.21,275.03,498.15,2024-02-21 05:00:00,2024-07-13 01:00:00,2.0,1203.63,VIP
8,Customer 8,customer8@email.com,Medan,2023-01-08,916,Veteran,7.0,2209.19,315.6,486.81,2024-02-09 21:00:00,2024-07-01 20:00:00,3.0,1378.07,VIP
9,Customer 9,customer9@email.com,Yogyakarta,2023-01-09,915,Veteran,3.0,844.99,281.66,381.91,2024-01-16 15:00:00,2024-04-15 12:00:00,0.0,544.16,High Value
10,Customer 10,customer10@email.com,Yogyakarta,2023-01-10,914,Veteran,6.0,1620.89,270.15,450.0,2024-02-11 11:00:00,2024-06-02 19:00:00,1.0,1017.55,VIP
11,Customer 11,customer11@email.com,Bandung,2023-01-11,913,Veteran,4.0,433.4,108.35,173.75,2024-03-04 18:00:00,2024-04-13 01:00:00,0.0,282.87,Medium Value
12,Customer 12,customer12@email.com,Yogyakarta,2023-01-12,912,Veteran,10.0,1746.07,174.61,445.61,2024-01-30 20:00:00,2024-06-03 14:00:00,2.0,1095.1,VIP
13,Customer 13,customer13@email.com,Medan,2023-01-13,911,Veteran,5.0,1032.56,206.51,407.2,2024-02-27 10:00:00,2024-07-26 22:00:00,1.0,655.19,VIP
14,Customer 14,customer14@email.com,Surabaya,2023-01-14,910,Veteran,4.0,1444.79,361.2,483.69,2024-01-03 20:00:00,2024-06-03 17:00:00,1.0,914.99,VIP
15,Customer 15,customer15@email.com,Yogyakarta,2023-01-15,909,Veteran,5.0,1769.39,353.88,446.17,2024-01-06 10:00:00,2024-03-03 21:00:00,1.0,1112.02,VIP
16,Customer 16,customer16@email.com,Jakarta,2023-01-16,908,Veteran,5.0,938.37,187.67,449.53,2024-01-29 12:00:00,2024-06-30 12:00:00,1.0,596.79,High Value
17,Customer 17,customer17@email.com,Bandung,2023-01-17,907,Veteran,8.0,1285.2,160.65,438.64,2024-01-20 08:00:00,2024-05-26 03:00:00,1.0,811.18,VIP
18,Customer 18,customer18@email.com,Medan,2023-01-18,906,Veteran,2.0,539.79,269.9,327.77,2024-01-21 15:00:00,2024-03-10 19:00:00,0.0,356.86,High Value
19,Customer 19,customer19@email.com,Surabaya,2023-01-19,905,Veteran,7.0,2152.75,307.54,477.12,2024-02-02 16:00:00,2024-07-24 00:00:00,2.0,1343.4,VIP
20,Customer 20,customer20@email.com,Yogyakarta,2023-01-20,904,Veteran,7.0,1089.88,155.7,312.87,2024-01-23 10:00:00,2024-07-20 02:00:00,0.0,690.5,VIP
